,Year,Country,Region,city,AttackType,Killed,Wounded,Target,Summary,Group,Target_type,Weapon_type,Motive
2315,1999,Turkey,Middle East & North Africa,Cizre District,Armed Assault,7,5.0,"Turkish Military Unit, guarding the road between Sirnak's Guclukonak and Cizre, Districts, Turkey","07/03/1999: People's Liberation Army of Kurdistan (ARGK) guerrillas attacked a military unit that was guarding the road between Sirnak's Guclukonak and Cizre Districts. Seven soldiers, including one officer, were killed and five soldiers were wounded in the attack.",Kurdistan Workers' Party (PKK),Military,Firearms,The attack was in protest of Abdullah Ocalan's recent sentencing in a Turkish court.
2316,1999,Turkey,Middle East & North Africa,Cayirli,Armed Assault,5,2.0,"BOTAS Petroleum Pipeline Corporation Police Station in Cayirli, Turkey","07/03/1999: People's Liberation Army of Kurdistan (ARGK) guerrillas ambushed soldiers from the BOTAS Petroleum Pipeline Corporation police station who were guarding the pipeline near Mardin's Midyat District in Cayirli, Turkey. Five soldiers were killed and two were wounded from the attack.",Kurdistan Workers' Party (PKK),Utilities,Firearms,The attack was in protest of Abdullah Ocalan's recent sentencing in a Turkish court.
2323,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,1,25.0,"Civilians in a Park in Istanbul, Turkey","07/04/1999: A powerful homemade shrapnel bomb fitted with a timer was left in a garbage bin and exploded in a park in Istanbul, Turkey. The explosion killed one person and wounded 25 others. Kurdistan Workers' Party (PKK) was suspected in the attack, but its leadership denied responsibility.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Explosives,The attack was in protest of Abdullah Ocalan's recent sentencing in a Turkish court.
2324,1999,Turkey,Middle East & North Africa,Unknown,Bombing/Explosion,1,4.0,"Turkish Petroleum Corporation (TPAO) Tanker Truck in Batman Province, Turkey","07/04/1999: A tanker truck belonging to the government-owned Turkish Petroleum Corporation hit a landmine planted by suspected Kurdistan Workers' Party (PKK) rebels in Batman province, Turkey. The attack injured 4 and killed the driver of the vehicle, which was badly damaged from the explosion.",Kurdistan Workers' Party (PKK),Government (General),Explosives,The attack was in protest of Abdullah Ocalan's recent sentencing in a Turkish court.
2328,1999,Turkey,Middle East & North Africa,Adana,Bombing/Explosion,1,17.0,"The Turkish Police Force Station in Adana, Turkey","07/05/1999: Ms. Rusen Tabanci, a 19-year-old female Kurdistan Workers' Party (PKK) member, detonated a bomb strapped to her body outside of a police station in Adana, Turkey. The suicide bomber was killed and seventeen others were injured in this attack. The area sustained minor damage.",Kurdistan Workers' Party (PKK),Police,Explosives,The attack was in protest of Abdullah Ocalan's recent sentencing in a Turkish court.
2329,1999,Turkey,Middle East & North Africa,Uzumlu,Bombing/Explosion,1,5.0,"Passengers on a minibus near Uzumlu, Turkey","07/05/1999: A land mine which was planted by Kurdistan Workers' Party (PKK) members, exploded when a minibus hit it near Uzumlu village in Hakkari province, Turkey. The explosion caused minor damage to the area, killed one person and injured five others.",Kurdistan Workers' Party (PKK),Transportation,Explosives,The attack was in protest of Abdullah Ocalan's recent sentencing in a Turkish court.
2339,1999,Turkey,Middle East & North Africa,Cayirli,Armed Assault,2,0.0,Turkish Armed Forces convoy on patrol near Cayirli village.,"07/07/1999: Two soldiers were killed when a group of unidentified men using long-barreled guns and rocket launchers attacked a military convoy near Cayirli village in Hakkari province, Turkey. The area sustained minor damage in the attack.",Unknown,Military,Firearms,Unknown
2344,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Fuel Tanker Truck in Esenler District, Turkey","07/08/1999: A time bomb planted under a fuel tanker exploded in the Esenler district of Istanbul province, Turkey. There were no casualties, but damage occurred to the fuel tanker and nearby vehicles. No group claimed credit for this attack.",Unknown,Utilities,Explosives,Unknown
2347,1999,Turkey,Middle East & North Africa,Payas,Armed Assault,0,0.0,"Ercan Mining Company Construction Site in Payas Township, Turkey","07/09/1999: A unknown group attacked a construction site owned by the Ercan Mining company in the Payas township of Hatay's Dortyol District, Turkey. There were no casualties, but the perpetrators set three vehicles on fire.",Unknown,Business,Incendiary,Unknown
2356,1999,Turkey,Middle East & North Africa,Dogansar District,Armed Assault,2,0.0,"Highway 16th Regional Directorate construction site in Sivas, Turkey","07/11/1999: Unknown attackers used firearms and incendiary devices to attack a construction site belong to the Highway Regional Directorate in Sivas' Dogansar District, Turkey. Two men were killed and minor property damage occurred in the attack.",Unknown,Government (General),Firearms,Unknown
2360,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,2.0,"Passenger Minibus in Istanbul, Turkey","07/12/1999: Two people were critically injured in a bomb that exploded on a minibus in Istanbul, Turkey. The bus was damaged from the explosion. Turkish authorities believed that the Kurdistan Workers' Party (PKK) was responsible for the attack.",Kurdistan Workers' Party (PKK),Transportation,Explosives,The attack was in protest of Abdullah Ocalan's recent sentencing in a Turkish court.
2367,1999,Turkey,Middle East & North Africa,Unknown,Armed Assault,5,0.0,"Civilians in Erzincan Province, Turkey","07/14/1999: Members of the Kurdistan Workers' Party (PKK) were suspected of killing five villagers in a southeastern province of Erzincan, Turkey. The attack occurred when assailants opened fired on villagers traveling by tractor on a country road.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Firearms,Unknown
2368,1999,Turkey,Middle East & North Africa,Istanbul,Facility/Infrastructure Attack,0,0.0,"Servet Tourism Company Bus in Istanbul, Turkey","07/14/1999: A firebomb was thrown at a service bus in Esenler district, Istanbul, Turkey. There were no reported casualties in the attack, although the vehicle was damaged. The bus was owned by the Servet Tourism Company and was one of two buses attacked on this day. No group or individual claimed credit for this attack.",Unknown,Transportation,Incendiary,Unknown
2369,1999,Turkey,Middle East & North Africa,Istanbul,Facility/Infrastructure Attack,0,0.0,"Servet Tourism Company Bus in Istanbul, Turkey","07/14/1999: A firebomb was thrown at a service bus in Esenler district, Istanbul, Turkey. There were no reported casualties in the attack, although the vehicle was damaged. The bus was owned by the Servet Tourism Company and was one of two buses attacked on this day. No group or individual claimed credit for this attack.",Unknown,Transportation,Incendiary,Unknown
2394,1999,Turkey,Middle East & North Africa,Caglayan,Armed Assault,1,7.0,"Civilians in a cafe in Caglayan, Turkey","07/20/1999: Unidentified perpetrators opened fire on an open-air cafe in Caglayan, Turkey, killing one person and wounding seven others. The caf̩ sustained minor damage in the attack.",Unknown,Business,Firearms,Unknown
2396,1999,Turkey,Middle East & North Africa,Arabaslik,Armed Assault,1,7.0,"Civilians in a cafe in Caglayan District, Turkey","07/20/1999: One person died and seven were injured when unidentified perpetrators opened fired on a cafe in Arabaslik, Turkey. The caf̩ was damaged and no one was arrested in connection with the attack.",Unknown,Business,Firearms,Unknown
2400,1999,Turkey,Middle East & North Africa,Solhan,Armed Assault,3,1.0,"An unnamed gas station near Solhan, Turkey","07/22/1999: Suspected gunmen from the Kurdistan Workers' Party (PKK), armed with automatic weapons, opened fire on a gas station near Solhan in the southeastern province of Bingol, Turkey, killing three people and seriously injuring a fourth. There was minor damage to the area from this attack.",Kurdistan Workers' Party (PKK),Business,Firearms,The attack was in retaliation for the capture of PKK member Cevat Soysal by Turkish forces.
2401,1999,Turkey,Middle East & North Africa,Unknown,Armed Assault,1,0.0,"Handicapped Man in Anatolia, Turkey","07/22/1999: Unidentified assailants entered the house of a handicapped man and shot him in the head in Anatolia, Turkey. A Maoist underground group, the Turkish Peasants' and Workers' Liberation Army (TIKKO), was suspected of killing the man.",Turkish Communist Party/Marxist (TKP-ML),Private Citizens & Property,Firearms,Unknown
2415,1999,Turkey,Middle East & North Africa,Karakocan district,Armed Assault,2,2.0,"Turkish Security Forces in Akpinar, Turkey","07/25/1999: Members of the Kurdistan Workers' Party (PKK) staged an armed attack against security forces in Akpinar, Turkey, killing two soldiers and injuring two others.",Kurdistan Workers' Party (PKK),Military,Firearms,Unknown
2426,1999,Turkey,Middle East & North Africa,Bulanik,Armed Assault,1,7.0,"Turkish Security Forces on patrol in Mus Province near Bulanik, Turkey","07/29/1999: Kurdistan Workers' Party (PKK) rebels used firearms to attack a military vehicle near Bulanik, Turkey, killing one soldier and wounding seven. There was also minor damage to the vehicle.",Kurdistan Workers' Party (PKK),Military,Firearms,Unknown
2439,1999,Turkey,Middle East & North Africa,Cigdemli,Armed Assault,6,7.0,"Civilians in Cigdemli village, Turkey","08/02/1999: A group of Kurdistan Workers' Party (PKK) rebels opened fire on a group of people returning home from the local coffee house in Cigdemli village, Turkey. Six villagers were killed and seven others were wounded in the attack.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Firearms,Unknown
2452,1999,Turkey,Middle East & North Africa,Catak,Armed Assault,1,1.0,"Turkish military team in Catak town, Turkey","08/05/1999: Armed members of the Kurdistan Workers' Party (PKK) attacked and killed an officer and wounded a soldier in Catak town, Turkey.",Kurdistan Workers' Party (PKK),Military,Firearms,Unknown
2457,1999,Turkey,Middle East & North Africa,Konak District,Bombing/Explosion,0,0.0,"Headquarters of the Socialist Power Party SIP in Konak District, Turkey","08/06/1999: An explosive device was placed next to the wall adjacent to the door of the headquarters of the Socialist Power Party SIP at No. 2 Birlesmis Milletler Avenue in Konak District, Turkey. The bomb exploded at approximately 00:50 local time. The door of the building was damaged, but there were no casualties. It was noted that about one hour after the explosion, an unidentified individual called the 155 police emergency hotline and said that ""he held the party members responsible for the fact that his younger sister had joined the party and that this is the reason he planted the bomb.""",Unknown,Government (General),Explosives,"An unidentified man called the police emergency line and stated that ""he held the party members responsible for the fact that his younger sister had joined the party and that this is the reason he planted the bomb."""
2512,1999,Turkey,Middle East & North Africa,Tunceli,Bombing/Explosion,1,0.0,"Police checkpoint in Tunceli, Turkey","08/27/1999: An extreme-leftist militant carried out a suicide bomb attack 100 meters from a police check-point in Tunceli, Turkey. The man was a member of the Maoist Turkish Workers' and Peasants' Liberation Army (TIKKO). There were no other injuries in the attack, but the windows of some nearby buildings were blown out in the blast. Security forces detained another man who was suspected of being an accomplice of the dead militant.",Turkish Communist Party/Marxist (TKP-ML),Police,Explosives,Unknown
2544,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,10.0,Premiership Treasury and Foreign Trade Undersecretariat staff and building,"9/10/1999: A bomb exploded at the Treasury building in Istanbul, Turkey.   The building was badly damaged and 10 people were injured.  Seven members of the Revolutionary People's Liberation Party-Front (DHKP-C) were later arrested in connection with the attack and another one that occurred the same night.",Devrimici Halk Kurtulus Cephesi (DHKP/C),Government (General),Explosives,"Specific motive is unknown, but authorities believe the attack was in preparation of ""attacks against high level officials of public institutions and organizations"""
2545,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,10.0,Labour and Social Security Ministry building and staff,"9/10/1999: A bomb exploded at the Labour and Social Security Ministry in Istanbul, Turkey.   The building was damaged and 10 people were injured.  Seven members of the Revolutionary People's Liberation Party-Front (DHKP-C) were later arrested in connection with the attack and another one that occurred the same night.",Devrimici Halk Kurtulus Cephesi (DHKP/C),Government (General),Explosives,"Specific motive is unknown, but authorities believe the attack was in preparation of ""attacks against high level officials of public institutions and organizations"""
